"time","toolid","moduleid","type","event","action","caller","recipeid","recipestepno","acttime","lotid","carrierid","slotno","waferid","message","uuid"
2023-11-28 11:37:02.390,tesla_sensor,model_Y,D,VENTV,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","82813ff5-b34d-4091-8998-fc2befb3d84d"
2023-11-28 11:49:35.600,tesla_sensor,model_Y,D,LIFTER,UP,PROCESS,"",0,0,Suspension,CCS1,2,"02","","6b012b4a-5033-42f3-aa00-034cd0b35b98"
2023-11-28 10:24:46.410,tesla_sensor,model_Y,S,ASST INIT,STEP END,"","",0,0,"","",0,"","","6749a3f1-1709-48cb-bb8b-9156662cd491"
2023-11-28 10:27:26.550,tesla_sensor,model_Y,R,STEP,R-STEP END,SPT PROCESS,"",6,0,"","",0,"",STEP06,"5ae79c59-be3c-4c03-9ee7-25267902b7c3"
2023-11-28 11:21:42.690,tesla_sensor,model_Y,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Seats,"",0,"","",fef1c0d3-4ab7-4df1-a9c7-9c4a7204803a
2023-11-28 11:37:02.460,tesla_sensor,model_Y,S,END PRCS,STEP END,"","",0,0,"","",0,"00","","1650ad1e-02c1-44c0-86c4-07c7dc9ba6ab"
2023-11-28 11:49:56.710,tesla_sensor,model_Y,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Suspension,"",0,"","",f8777f14-de75-462e-bc83-d9e4beca0264
2023-11-28 14:40:06.920,tesla_sensor,model_Y,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Tires,"",0,"","","020247ba-d286-4afa-b063-9bb96e19717a"
2023-11-28 14:46:00.770,tesla_sensor,model_Y,D,MFC2 MVC,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","","98d74141-4193-4911-bc3e-a4139d0cc7ba"
2023-11-28 15:35:24.740,tesla_sensor,model_Y,D,IG DEGAS,OFF,END PRCS,"",0,0,"","",0,"00","","954f9703-f000-4e76-ad0a-c215aba7b093"
2024-01-04 14:14:04.950,tesla_sensor,model_3,D,SHIELD,UP,SPT PROCESS,F2_EUNO-8,0,0,Battery,CHAdeMo,8,"08","",d01f844a-92f1-477c-86bf-bdd14098baea
2024-01-04 14:14:33.690,tesla_sensor,model_3,D,MAGNET,OFF,END PRCS,"",0,0,"","",0,"","","9ffcf60a-106c-47e0-8808-5533474d0c67"
2024-01-04 14:50:34.210,tesla_sensor,model_3,D,MFC2 INLETV,OPEN,SPT PROCESS,F2_EUNO-12,0,0,Wiper Blades,CHAdeMo,12,"12","",e9a111ea-8fa6-4db6-b6df-001dbde5d8ec
2024-01-04 14:52:05.670,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",fafc0f0d-144d-406c-b75c-82a803c2d6b8
2024-01-04 13:43:26.990,tesla_sensor,model_3,D,ESC,AUTO EXIT,SETUP,"",0,0,"","",0,"","","8df92672-de8c-4e20-b9ba-f9a0026b1988"
2024-01-04 13:45:44.540,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-1,4,0,Battery,CHAdeMo,1,"01",STEP04,"4976b69e-eb83-4e45-9fb8-9370b2b4f550"
2024-01-04 13:46:36.510,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","",d0da2206-2b73-415f-a414-a71362826a8c
2024-01-04 13:49:09.920,tesla_sensor,model_3,D,ESC,AUTO EXIT,ESC CONTROL,"",0,0,Battery,"",0,"","",f05a7c01-918a-49f9-a44f-2434970a4404
2024-01-04 15:10:51.260,tesla_sensor,model_3,S,SHTR SET,STEP END,"","",0,0,"","",0,"","",ed950f36-0b2a-40a3-9b90-0b192f4192cf
2024-01-04 15:36:48.840,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","42594652-a27a-49cd-8a83-3ac43208f7fc"
2024-01-04 15:57:44.550,tesla_sensor,model_3,D,MAGNET RESET,COMPLETE,SETUP,"",0,1000,"","",0,"","01.0Sec",b36a46f3-ee7b-4c46-9e1e-43c71d9f417e
2024-01-04 16:01:15.510,tesla_sensor,model_3,D,MFC3 MVC,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","1fcb636d-51b1-4540-93eb-74364b55cdc7"
2024-01-04 16:22:32.300,tesla_sensor,model_3,D,PRCS1 PS,ON,SPT PROCESS,F2_EUNO-17,0,0,Air Filter,CHAdeMo,1,"01","",a7613c1c-2562-4970-a0a7-9e4e64056de0
2024-01-04 16:39:18.070,tesla_sensor,model_3,D,MFC1 MVC,AUTO EXIT,SPT PROCESS,"",0,0,Air Filter,"",0,"","","47071108-926e-49f7-b359-71a148f48206"
2024-01-04 16:55:23.230,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","955ad8b8-9349-464a-925f-acf9f525baa7"
2024-01-04 16:51:01.110,tesla_sensor,model_3,D,MFC1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Air Filter,"",0,"","","105260a7-eb15-45f7-927d-9bfbdf3427e8"
2024-01-04 14:06:34.000,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","","1bd292f2-047d-4eec-925d-191d022ea41a"
2024-01-04 14:36:53.250,tesla_sensor,model_3,D,LIFTER,AUTO EXIT,SETUP,"",0,0,"","",0,"","",a2ff2e07-234e-42d3-a27a-013240b7319b
2024-01-04 16:17:39.100,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","",f829a42f-3001-408f-a00e-0ee60ed14536
2024-01-04 16:57:42.960,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,SHTR SET,"",0,0,"","",0,"","",c8b8c94f-d9ba-4c35-8c9c-c137470d066c
2024-01-04 13:43:27.020,tesla_sensor,model_3,S,SETUP,STEP END,"","",0,0,"","",0,"","",aa958ea5-bf5b-42c1-bf62-e56323cbab72
2024-01-04 15:08:05.770,tesla_sensor,model_3,S,END PRCS,STEP START,"","",0,0,"","",0,"","",a41bcb05-c01f-48d3-8876-003e3f63a66a
2024-01-04 15:21:30.870,tesla_sensor,model_3,D,MFC3 IAC,ON,SPT PROCESS,"",0,0,"","",0,"00","",c4ceaf91-6981-41a7-8774-a18d2cf762b9
2023-11-28 11:23:13.100,tesla_sensor,model_Y,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Seats,"",0,"","","63445d5b-7644-435c-bff6-6cf5f397ac68"
2024-01-04 14:14:30.780,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","",f3db8951-b151-4fb3-8760-4aded608ab33
2023-11-28 11:15:34.270,tesla_sensor,model_Y,D,SHIELD,UP,END PRCS,"",0,0,"","",0,"","","3772c65e-7a20-4153-9ab7-d3a44bc2180f"
2023-11-28 11:23:24.190,tesla_sensor,model_Y,D,LIFTER,UP,UNLOAD,"",0,0,Seats,CCS2,24,"24","","555b5398-1cef-42b8-b322-f20892ba9e5e"
2023-11-28 14:16:11.470,tesla_sensor,model_Y,D,MAINV,CLOSE,"","",0,0,"","",0,"00","","9771f75e-4b2e-44d4-83f8-2447778e0f47"
2023-11-28 14:46:00.850,tesla_sensor,model_Y,D,LIFTER,UP,UNLOAD,"",0,0,Tires,TPC,3,"03","","6d894254-12af-4489-88b0-944ef7b90986"
2024-01-04 14:34:45.980,tesla_sensor,model_3,S,ROUGH,STEP END,"","",0,0,"","",0,"","",f0d955f4-9e9a-45ab-8bf4-6758db03c2b8
2024-01-04 14:34:50.000,tesla_sensor,model_3,D,AMC2 AUTO MATCH,ON,SETUP,"",0,0,"","",0,"","",e6c3cf6a-4f68-4e3a-b59e-e106ed9cb0c7
2024-01-04 14:47:41.350,tesla_sensor,model_3,D,MFC1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",da72aa51-9a59-49d0-9930-81b89eae1a35
2024-01-04 15:21:30.860,tesla_sensor,model_3,D,MFC1 MVC,ON,SPT PROCESS,"",0,0,"","",0,"00","","8f318319-23ed-4070-bb2a-df93c9638af2"
2024-01-04 14:54:52.410,tesla_sensor,model_3,D,ESC,AUTO EXIT,ESC CONTROL,"",0,0,Wiper Blades,"",0,"","","2324c963-be6c-464c-a026-bdf0da7ef255"
2024-01-04 14:58:33.520,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",a821ac8f-9938-4625-9e9d-9ef861be372c
