"toolid","moduleid","recipeid","lotid","carrierid","slotno","waferid","recipestepno","sdate","edate"
tesla_sensor,model_Y,tesla_recipe.851,Suspension,CCS1,3,"03",6,2023-11-28 11:50:13.780,2023-11-28 11:51:13.820
tesla_sensor,model_Y,tesla_recipe.851,Suspension,CCS1,3,"03",7,2023-11-28 11:51:13.820,2023-11-28 11:51:14.870
tesla_sensor,model_Y,tesla_recipe.851,Suspension,CCS1,3,"03",8,2023-11-28 11:51:14.870,2023-11-28 11:51:19.880
tesla_sensor,model_Y,tesla_recipe.851,Suspension,CCS1,3,"03",9,2023-11-28 11:51:19.880,2023-11-28 11:51:23.110
tesla_sensor,model_Y,tesla_recipe.851,Suspension,CCS1,3,"03",10,2023-11-28 11:51:23.110,2023-11-28 11:51:33.120
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",1,2023-11-28 11:21:40.650,2023-11-28 11:21:47.700
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",2,2023-11-28 11:21:47.700,2023-11-28 11:21:52.710
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",3,2023-11-28 11:21:52.710,2023-11-28 11:22:02.720
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",4,2023-11-28 11:22:02.720,2023-11-28 11:22:03.770
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",5,2023-11-28 11:22:03.770,2023-11-28 11:22:04.780
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",6,2023-11-28 11:22:04.780,2023-11-28 11:23:04.820
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",7,2023-11-28 11:23:04.820,2023-11-28 11:23:05.870
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",8,2023-11-28 11:23:05.870,2023-11-28 11:23:10.880
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",9,2023-11-28 11:23:10.880,2023-11-28 11:23:14.100
tesla_sensor,model_Y,tesla_recipe.851,Seats,CCS2,24,"24",10,2023-11-28 11:23:14.100,2023-11-28 11:23:24.110
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",1,2023-11-28 14:42:05.490,2023-11-28 14:42:12.550
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",2,2023-11-28 14:42:12.550,2023-11-28 14:42:17.560
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",3,2023-11-28 14:42:17.560,2023-11-28 14:42:27.580
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",4,2023-11-28 14:42:27.580,2023-11-28 14:42:28.630
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",5,2023-11-28 14:42:28.630,2023-11-28 14:42:29.640
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",6,2023-11-28 14:42:29.640,2023-11-28 14:43:35.880
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",7,2023-11-28 14:43:35.880,2023-11-28 14:43:36.920
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",8,2023-11-28 14:43:36.920,2023-11-28 14:43:41.930
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",9,2023-11-28 14:43:41.930,2023-11-28 14:43:45.090
tesla_sensor,model_Y,tesla_recipe.851,Tires,TPC,2,"02",10,2023-11-28 14:43:45.090,2023-11-28 14:43:55.100
tesla_sensor,model_Y,tesla_recipe.853,Tires,TPC,1,"01",1,2023-11-28 14:39:59.860,2023-11-28 14:40:06.910
tesla_sensor,model_3,tesla_recipe.123,Battery,CHAdeMo,3,"03",6,2024-01-04 13:53:40.300,2024-01-04 13:54:05.340
tesla_sensor,model_3,tesla_recipe.123,Battery,CHAdeMo,3,"03",7,2024-01-04 13:54:05.340,2024-01-04 13:54:06.390
tesla_sensor,model_3,tesla_recipe.123,Battery,CHAdeMo,3,"03",8,2024-01-04 13:54:06.390,2024-01-04 13:54:11.420
tesla_sensor,model_3,tesla_recipe.123,Battery,CHAdeMo,3,"03",9,2024-01-04 13:54:11.420,2024-01-04 13:54:14.610
tesla_sensor,model_3,tesla_recipe.123,Battery,CHAdeMo,3,"03",10,2024-01-04 13:54:14.610,2024-01-04 13:54:24.620
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",1,2024-01-04 13:56:57.160,2024-01-04 13:57:04.200
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",2,2024-01-04 13:57:04.200,2024-01-04 13:57:09.210
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",3,2024-01-04 13:57:09.210,2024-01-04 13:57:19.220
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",4,2024-01-04 13:57:19.220,2024-01-04 13:57:20.270
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",5,2024-01-04 13:57:20.270,2024-01-04 13:57:21.290
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",6,2024-01-04 13:57:21.290,2024-01-04 13:58:11.330
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",7,2024-01-04 13:58:11.330,2024-01-04 13:58:12.380
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",8,2024-01-04 13:58:12.380,2024-01-04 13:58:17.410
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",9,2024-01-04 13:58:17.410,2024-01-04 13:58:20.590
tesla_sensor,model_3,tesla_recipe.124,Battery,CHAdeMo,4,"04",10,2024-01-04 13:58:20.590,2024-01-04 13:58:30.600
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",1,2024-01-04 14:01:12.830,2024-01-04 14:01:19.850
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",2,2024-01-04 14:01:19.850,2024-01-04 14:01:24.860
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",3,2024-01-04 14:01:24.860,2024-01-04 14:01:34.870
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",4,2024-01-04 14:01:34.870,2024-01-04 14:01:35.920
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",5,2024-01-04 14:01:35.920,2024-01-04 14:01:36.930
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",6,2024-01-04 14:01:36.930,2024-01-04 14:02:01.970
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",7,2024-01-04 14:02:01.970,2024-01-04 14:02:03.020
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",8,2024-01-04 14:02:03.020,2024-01-04 14:02:08.050
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",9,2024-01-04 14:02:08.050,2024-01-04 14:02:11.230
